Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Catchmark timber trust inc,CTT,"",5108296.0,59767000.0,0.0015,0.0014,2267,-15221.0,-0.297081,reduction,10.4465895,Q1 2014,REAL ESTATE,"","",11.87
Wix.com ltd,WIX,"",205756.0,59727000.0,0.0015,0.001,2268,71410.0,53.153797,addition,0.3672394,Q4 2013,COMMUNICATIONS,"","",203.7395
Precigen inc. (intrexon),PGEN,"",9160301.0,59726000.0,0.0015,0.0016,2269,421678.0,4.825451,addition,4.4329022,Q3 2013,HEALTH CARE,"","",15.4682
Credicorp ltd adr,BAP,"",492748.0,59677000.0,0.0015,0.0021,2270,-69424.0,-12.349245,reduction,0.5220766,Q3 2008,FINANCE,"","",132.52
Ruths hospitality group inc,RUTH,"",2590202.0,59653000.0,0.0015,0.0017,2271,98804.0,3.965806,addition,7.4405052,Q3 2005,CONSUMER DISCRETIONARY,"","",12.4496
The lovesac co,LOVE,"",747151.0,59616000.0,0.0015,0.0011,2272,8802.0,1.192119,addition,4.9496064,Q3 2018,CONSUMER DISCRETIONARY,"","",29.0845
Acm research inc,ACMR,"",579359.0,59221000.0,0.0015,0.0012,2273,10413.0,1.830226,addition,3.2768416,Q1 2018,INDUSTRIALS,"","",25.4452
Vanguard utilities etf,VPU,"",425498.0,59042000.0,0.0015,0.0016,2274,6613.0,1.578715,addition,No Data,Q2 2014,UTILITIES AND TELECOMMUNICATIONS,"","",137.0864
Euronav nv,EURN,"",6334142.0,59034000.0,0.0015,0.0015,2275,107152.0,1.720767,addition,2.8788321,Q2 2015,TRANSPORTS,"","",7.6586
Standard motor products inc. class a,SMP,"",1361445.0,59019000.0,0.0015,0.0015,2276,-6601.0,-0.482513,reduction,6.1269415,Q2 2002,CONSUMER DISCRETIONARY,"","",29.66
Brightview holdings inc,BV,"",3654648.0,58914000.0,0.0015,0.0016,2277,75417.0,2.107073,addition,3.4739418,Q2 2018,CONSUMER DISCRETIONARY,"","",15.6793
Amneal pharmaceuticals inc,AMRX,"",11496667.0,58863000.0,0.0015,0.002,2278,391756.0,3.527773,addition,7.7015212,Q2 2018,HEALTH CARE,"","",13.8906
Vanguard small-cap growth etf,VBK,"",202925.0,58805000.0,0.0015,0.0016,2279,-11961.0,-5.566207,reduction,No Data,Q2 2004,FINANCE,"","",265.84
Alignment healthcare inc,ALHC,"",2512782.0,58724000.0,0.0015,0.0002,2280,2116624.0,534.287835,addition,1.3417692,Q1 2021,HEALTH CARE,"","",23.143
Onespan inc,OSPN,"",2294517.0,58602000.0,0.0015,0.0015,2281,-8545.0,-0.371028,reduction,5.7062551,Q2 2002,INFORMATION TECHNOLOGY,"","",17.99
Stoke therapeutics inc,STOK,"",1738802.0,58527000.0,0.0015,0.0017,2282,77791.0,4.683352,addition,4.7315512,Q2 2019,HEALTH CARE,"","",31.2527
Veritiv corp,VRTV,"",946653.0,58144000.0,0.0014,0.001,2283,72411.0,8.282718,addition,6.3437725,Q3 2014,MATERIALS,"","",38.2399
Americas car mart inc.,CRMT,"",408877.0,57945000.0,0.0014,0.0017,2284,-507.0,-0.123845,reduction,6.1863337,Q2 2002,CONSUMER DISCRETIONARY,"","",36.45
Photronics  inc.,PLAB,"",4385729.0,57935000.0,0.0014,0.0015,2285,123787.0,2.904474,addition,7.0761532,Q2 2002,INFORMATION TECHNOLOGY,"","",9.2354
Upland software inc,UPLD,"",1406193.0,57892000.0,0.0014,0.0017,2286,43455.0,3.188801,addition,4.6236202,Q1 2015,INFORMATION TECHNOLOGY,"","",29.2404
Vanguard real estate etf,VNQ,"",568130.0,57830000.0,0.0014,0.0014,2287,-5756.0,-1.002987,reduction,No Data,Q2 2008,REAL ESTATE,"","",84.62
U.s. silica holdings  inc.,SLCA,"",4995852.0,57752000.0,0.0014,0.0016,2288,97184.0,1.983886,addition,6.6830638,Q1 2012,INDUSTRIALS,"","",26.5624
Companhia siderurgica nacional sa,SID,"",6560910.0,57605000.0,0.0014,0.0012,2289,0.0,0.0,,0.4728502,Q2 2005,MATERIALS,"","",10.42
Playtika holding corp,PLTK,"",2414498.0,57561000.0,0.0014,0.0011,2290,911457.0,60.640861,addition,0.5894278,Q1 2021,INFORMATION TECHNOLOGY,"","",25.9378
Krystal biotech inc,KRYS,"",846355.0,57552000.0,0.0014,0.0017,2291,15944.0,1.920013,addition,3.8114413,Q4 2017,HEALTH CARE,"","",34.9643
Heidrick & struggles international inc,HSII,"",1290877.0,57508000.0,0.0014,0.0012,2292,76183.0,6.271785,addition,6.6099424,Q2 2002,INDUSTRIALS,"","",27.17
Clovis oncology inc,CLVS,"",9914068.0,57502000.0,0.0014,0.0014,2293,2290875.0,30.051384,addition,8.3726766,Q4 2011,HEALTH CARE,"","",27.3376
Uwm holdings corp.,UWMC,"",6794254.0,57411000.0,0.0014,0.0007,2294,3450072.0,103.166395,addition,6.5894407,Q1 2021,INFORMATION TECHNOLOGY,"","",8.1941
Echo global logistics inc,ECHO,"",1865993.0,57361000.0,0.0014,0.0016,2295,40294.0,2.207045,addition,7.0071085,Q1 2010,INFORMATION TECHNOLOGY,"","",24.576
Noah holdings ltd adr,NOAH,"",1214987.0,57347000.0,0.0014,0.0014,2296,54626.0,4.707673,addition,2.6675407,Q2 2016,FINANCE,"","",38.003
National presto industries inc.,NPK,"",563825.0,57313000.0,0.0014,0.0016,2297,-9749.0,-1.699694,reduction,8.0134378,Q2 2002,CONSUMER DISCRETIONARY,"","",83.76
Datto holding corp.,MSP,"",2055845.0,57234000.0,0.0014,0.0013,2298,-2599.0,-0.12626,reduction,1.2668740,Q4 2020,INFORMATION TECHNOLOGY,"","",26.9
Forma therapeutics holdings  inc.,FMTX,"",2295850.0,57144000.0,0.0014,0.0017,2299,102994.0,4.696797,addition,4.8463610,Q2 2020,FINANCE,"","",38.5676
Monarch casino and resort inc.,MCRI,"",862140.0,57047000.0,0.0014,0.0013,2300,51921.0,6.408267,addition,4.6352819,Q3 2004,CONSUMER DISCRETIONARY,"","",29.2556
Dynavax technologies corp,DVAX,"",5785376.0,56986000.0,0.0014,0.0014,2301,463533.0,8.710009,addition,5.0412786,Q4 2004,HEALTH CARE,"","",48.025
Harmonic inc.,HLIT,"",6675459.0,56875000.0,0.0014,0.0014,2302,225189.0,3.491156,addition,6.5570585,Q2 2002,INFORMATION TECHNOLOGY,"","",6.4908
Unitil corp,UTL,"",1073158.0,56845000.0,0.0014,0.0011,2303,170492.0,18.887606,addition,7.1318178,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",39.6633
Douglas dynamics inc,PLOW,"",1392046.0,56642000.0,0.0014,0.0017,2304,5476.0,0.394931,addition,6.0573907,Q2 2010,INDUSTRIALS,"","",28.6376
Preferred bank (los angeles ca),PFBC,"",894809.0,56615000.0,0.0014,0.0015,2305,21243.0,2.431757,addition,6.7845098,Q2 2011,FINANCE,"","",39.1661
Poshmark inc,POSH,"",1182208.0,56440000.0,0.0014,0.0007,2306,557416.0,89.216251,addition,7.6695188,Q1 2021,CONSUMER DISCRETIONARY,"","",43.9665
Neenah inc,NP,"",1124663.0,56424000.0,0.0014,0.0015,2307,48541.0,4.510734,addition,6.6695717,Q4 2004,MATERIALS,"","",44.2854
Advansix inc,ASIX,"",1884684.0,56277000.0,0.0014,0.0014,2308,-87806.0,-4.451531,reduction,6.7026270,Q4 2016,MATERIALS,"","",27.33
Forrester research inc,FORR,"",1227402.0,56215000.0,0.0014,0.0014,2309,9754.0,0.801053,addition,6.4033911,Q2 2002,INFORMATION TECHNOLOGY,"","",32.5065
Morphic holding inc,MORF,"",976559.0,56044000.0,0.0014,0.0016,2310,26261.0,2.763449,addition,2.6790948,Q2 2019,HEALTH CARE,"","",35.894
Travere therapeutics inc,TVTX,"",3834756.0,55949000.0,0.0014,0.0027,2311,-166832.0,-4.169145,reduction,6.3157680,Q1 2014,HEALTH CARE,"","",21.21
Brookfield property reit inc,BPYU,"",2939593.0,55529000.0,0.0014,0.0015,2312,-46829.0,-1.568064,reduction,7.6659184,Q3 2018,REAL ESTATE,"","",20.57
Simulation plus inc,SLP,"",1010822.0,55505000.0,0.0014,0.0017,2313,18772.0,1.892243,addition,5.0207456,Q1 2007,INFORMATION TECHNOLOGY,"","",30.6
Mimedx group inc,MDXG,"",4425375.0,55361000.0,0.0014,0.0011,2314,303824.0,7.371594,addition,3.9531044,Q4 2020,HEALTH CARE,"","",9.3341
Y-mabs therapeutics inc,YMAB,"",1635255.0,55272000.0,0.0014,0.0013,2315,36676.0,2.294288,addition,3.7525687,Q3 2018,HEALTH CARE,"","",31.6396
Vivint smart home ord shs class a,VVNT,"",4180299.0,55180000.0,0.0014,0.0015,2316,311687.0,8.056817,addition,N/A,Q2 2020, ,"","",
Cutera inc,CUTR,"",1120018.0,54914000.0,0.0014,0.0009,2317,38634.0,3.572644,addition,6.2422816,Q2 2006,HEALTH CARE,"","",22.5558
G1 therapeutics inc,GTHX,"",2502826.0,54912000.0,0.0014,0.0016,2318,61841.0,2.533444,addition,5.9100928,Q2 2017,HEALTH CARE,"","",31.7319
City office reit inc,CIO,"",4412670.0,54850000.0,0.0014,0.0012,2319,115018.0,2.676299,addition,10.1314047,Q3 2014,REAL ESTATE,"","",12.6832
Replimune group inc,REPL,"",1425718.0,54777000.0,0.0014,0.0013,2320,-113380.0,-7.366652,reduction,3.0482126,Q3 2018,HEALTH CARE,"","",22.89
Cincinnati bell inc. (broadwing - cincinnati & suburban bell telephone),CBB,"",3548154.0,54712000.0,0.0014,0.0014,2321,114986.0,3.349268,addition,6.9680951,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",185.4841
Trico bancshares (chico  ca),TCBK,"",1281110.0,54550000.0,0.0014,0.0016,2322,34213.0,2.743851,addition,4.3113652,Q2 2002,FINANCE,"","",29.7909
Cricut inc,CRCT,"",1279263.0,54497000.0,0.0014,0.0006,2323,193030.0,17.770589,addition,7.7839136,Q1 2021,CONSUMER DISCRETIONARY,"","",23.2318
Pretium resources inc,PVG,"",5690642.0,54403000.0,0.0014,0.0016,2324,90489.0,1.615831,addition,3.0288212,Q1 2015,MATERIALS,"","",7.8083
Ranpak holdings corp,PACK,"",2168030.0,54266000.0,0.0014,0.0009,2325,544521.0,33.539759,addition,N/A,Q2 2019, ,"","",
Qad inc.  class a,QADA,"",623416.0,54250000.0,0.0014,0.0012,2326,-42365.0,-6.363204,reduction,3.5866429,Q4 2010,INFORMATION TECHNOLOGY,"","",30.88
First defiance financial corp,PFC,"",1908991.0,54234000.0,0.0013,0.0018,2327,-61429.0,-3.117559,reduction,5.1345763,Q2 2002,FINANCE,"","",20.29
Vuzix corp,VUZI,"",2940248.0,53955000.0,0.0013,0.0017,2328,474396.0,19.238624,addition,4.6242295,Q2 2015,INFORMATION TECHNOLOGY,"","",11.2801
Enerplus corp,ERF,"",7501622.0,53936000.0,0.0013,0.001,2329,293232.0,4.067926,addition,2.9217601,Q1 2015,ENERGY,"","",7.8146
Tutor perini corp.,TPC,"",3890334.0,53882000.0,0.0013,0.0019,2330,106826.0,2.823464,addition,7.6173248,Q2 2002,INDUSTRIALS,"","",23.5365
Dennys corp.,DENN,"",3257672.0,53718000.0,0.0013,0.0016,2331,33888.0,1.051187,addition,5.0742556,Q2 2005,CONSUMER DISCRETIONARY,"","",8.3456
Banc of california inc,BANC,"",3061290.0,53695000.0,0.0013,0.0015,2332,84103.0,2.824915,addition,6.0842521,Q2 2005,FINANCE,"","",16.2368
Liberty braves group series c,BATRK,"",1933360.0,53690000.0,0.0013,0.0014,2333,30067.0,1.579736,addition,4.7185956,Q2 2016,COMMUNICATIONS,"","",19.1758
Atrion corp.,ATRI,"",86373.0,53632000.0,0.0013,0.0015,2334,-1041.0,-1.190885,reduction,4.7254110,Q4 2007,HEALTH CARE,"","",356.67
Impinj inc,PI,"",1037915.0,53546000.0,0.0013,0.0015,2335,45951.0,4.632325,addition,4.2729402,Q3 2016,INFORMATION TECHNOLOGY,"","",34.1671
Timken steel corp,TMST,"",3782842.0,53526000.0,0.0013,0.001,2336,535880.0,16.504043,addition,8.1920214,Q3 2014,MATERIALS,"","",25.6174
Myers industries inc.,MYE,"",2543919.0,53422000.0,0.0013,0.0014,2337,-4343.0,-0.17043,reduction,7.0324806,Q2 2002,MATERIALS,"","",16.18
Energy recovery inc,ERII,"",2338236.0,53265000.0,0.0013,0.0012,2338,8279.0,0.355328,addition,4.0912369,Q3 2008,INDUSTRIALS,"","",8.9392
C4 therapeutics  inc.,CCCC,"",1406840.0,53234000.0,0.0013,0.0004,2339,1018882.0,262.626882,addition,2.9034389,Q4 2020,HEALTH CARE,"","",36.5411
Surmodics  inc.,SRDX,"",978114.0,53062000.0,0.0013,0.0014,2340,55072.0,5.966359,addition,7.0509948,Q2 2002,HEALTH CARE,"","",33.1961
Collegium pharmaceutical inc,COLL,"",2240389.0,52963000.0,0.0013,0.0014,2341,54009.0,2.470248,addition,6.2995155,Q2 2015,HEALTH CARE,"","",19.2582
Construction partners inc,ROAD,"",1686583.0,52958000.0,0.0013,0.0014,2342,-4744.0,-0.28049,reduction,4.6199438,Q2 2018,INDUSTRIALS,"","",17.33
Atn international inc,ATNI,"",1163807.0,52942000.0,0.0013,0.0015,2343,10611.0,0.920138,addition,7.3361177,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",48.9185
Aurora cannabis inc,ACB,"",5846785.0,52855000.0,0.0013,0.0014,2344,339238.0,6.159512,addition,2.9518942,Q4 2018,HEALTH CARE,"","",200.695
Phathom pharmaceuticals  inc.,PHAT,"",1559289.0,52783000.0,0.0013,0.0015,2345,79697.0,5.386417,addition,4.9727831,Q4 2019,HEALTH CARE,"","",33.0814
Consolidated communications holdings inc,CNSL,"",6003507.0,52770000.0,0.0013,0.0011,2346,112704.0,1.91322,addition,6.0792431,Q3 2005,UTILITIES AND TELECOMMUNICATIONS,"","",17.6112
Constellation pharmaceuticals inc,CNST,"",1561052.0,52763000.0,0.0013,0.0011,2347,-153731.0,-8.965041,reduction,3.2579821,Q3 2018,HEALTH CARE,"","",24.46
Montrose environmental group  inc.,MEG,"",979616.0,52565000.0,0.0013,0.0012,2348,77412.0,8.580321,addition,3.7390813,Q3 2020,INDUSTRIALS,"","",34.6879
Heritage financial corp. (wa),HFWA,"",2100235.0,52549000.0,0.0013,0.0018,2349,-218441.0,-9.420937,reduction,5.8387447,Q2 2002,FINANCE,"","",23.88
Fossil group inc.,FOSL,"",3659692.0,52261000.0,0.0013,0.0012,2350,132642.0,3.760707,addition,7.0184355,Q2 2002,CONSUMER DISCRETIONARY,"","",26.7221
Cerus corp.,CERS,"",8833908.0,52208000.0,0.0013,0.0015,2351,-120762.0,-1.348592,reduction,5.1471614,Q2 2002,HEALTH CARE,"","",5.22
United states cellular corp.,USM,"",1436097.0,52145000.0,0.0013,0.0014,2352,13385.0,0.940809,addition,2.6727333,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",41.1544
Chicos fas inc,CHS,"",7915578.0,52084000.0,0.0013,0.0007,2353,111198.0,1.424815,addition,6.4563401,Q2 2002,CONSUMER DISCRETIONARY,"","",11.6182
Ocular therapeutix inc,OCUL,"",3668965.0,52025000.0,0.0013,0.0016,2354,25902.0,0.710995,addition,4.7908393,Q3 2014,HEALTH CARE,"","",11.082
Thermon group holdings inc,THR,"",3046797.0,51917000.0,0.0013,0.0016,2355,93464.0,3.164696,addition,9.1409289,Q2 2011,INDUSTRIALS,"","",21.4795
Pactiv evergreen inc.,PTVE,"",3437615.0,51804000.0,0.0013,0.0012,2356,119501.0,3.601474,addition,1.9404264,Q3 2020,MATERIALS,"","",13.014
Eldorado gold corp,EGO,"",5204441.0,51784000.0,0.0013,0.0015,2357,143736.0,2.840237,addition,2.8502791,Q1 2015,MATERIALS,"","",57.7912
Whiting petroleum corp,WLL,"",945650.0,51585000.0,0.0013,0.0006,2358,343167.0,56.958786,addition,2.4174324,Q4 2003,ENERGY,"","",36.0483
Cvr energy inc,CVI,"",2869095.0,51529000.0,0.0013,0.0015,2359,57285.0,2.0373,addition,2.8539520,Q4 2007,ENERGY,"","",32.8761
Ellington financial llc,EFC,"",2687233.0,51461000.0,0.0013,0.0009,2360,531022.0,24.627553,addition,5.3613781,Q1 2019,REAL ESTATE,"","",16.9835
Vanguard growth etf,VUG,"",179392.0,51451000.0,0.0013,0.0013,2361,-2325.0,-1.279462,reduction,No Data,Q4 2004,FINANCE,"","",251.9
Petiq inc,PETQ,"",1331411.0,51392000.0,0.0013,0.0011,2362,196529.0,17.317131,addition,4.6037819,Q3 2017,HEALTH CARE,"","",30.8092
Equinox gold corp,EQX,"",7387325.0,51343000.0,0.0013,0.0012,2363,1724187.0,30.445788,addition,2.4587623,Q1 2020,MATERIALS,"","",10.3997
Meridian bancorp inc,EBSB,"",2508860.0,51331000.0,0.0013,0.0013,2364,-14182.0,-0.562099,reduction,4.7685229,Q2 2008,FINANCE,"","",12.59
Southern copper corp.,SCCO,"",797595.0,51300000.0,0.0013,0.0014,2365,14597.0,1.864245,addition,0.1031709,Q2 2004,MATERIALS,"","",33.691
Dermtech inc,DMTK,"",1228263.0,51060000.0,0.0013,0.0013,2366,278443.0,29.315344,addition,4.1480886,Q4 2019,FINANCE,"","",31.6331
Centerra gold inc,CGAU,"",6685815.0,51013000.0,0.0013,,2367,6685815.0,,new,2.2532776,Q2 2021,MATERIALS,"","",7.63
Forestar group inc,FOR,"",2433832.0,50891000.0,0.0013,0.0015,2368,68477.0,2.894999,addition,4.9141412,Q4 2007,REAL ESTATE,"","",18.8496
Par pacific holdings inc,PARR,"",3018654.0,50774000.0,0.0013,0.0011,2369,243902.0,8.790047,addition,5.0120648,Q3 2014,ENERGY,"","",17.1601
Gannett co inc. (new media investment group),GCI,"",9172308.0,50356000.0,0.0013,0.0012,2370,597556.0,6.968785,addition,6.4314239,Q1 2014,COMMUNICATIONS,"","",9.7062
Spectrum pharmaceuticals inc.,SPPI,"",13344285.0,50041000.0,0.0012,0.0011,2371,718149.0,5.687797,addition,8.2616921,Q1 2007,HEALTH CARE,"","",9.8813
Chuys holdings inc,CHUY,"",1341318.0,49977000.0,0.0012,0.0016,2372,25195.0,1.914335,addition,6.7075549,Q3 2012,INDUSTRIALS,"","",27.3792
American vanguard corp.,AVD,"",2851949.0,49938000.0,0.0012,0.0016,2373,-70637.0,-2.416935,reduction,9.2361242,Q2 2003,MATERIALS,"","",17.08
Spartannash co,SPTN,"",2585706.0,49931000.0,0.0012,0.0014,2374,35137.0,1.377614,addition,7.1349224,Q1 2005,CONSUMER STAPLES,"","",21.7168
Party city holdco inc,PRTY,"",5322830.0,49663000.0,0.0012,0.0007,2375,763188.0,16.737893,addition,4.7562112,Q2 2015,CONSUMER DISCRETIONARY,"","",9.6555
Omeros corp,OMER,"",3345685.0,49649000.0,0.0012,0.0016,2376,-171.0,-0.005111,reduction,5.3534690,Q2 2010,HEALTH CARE,"","",13.83
Amphastar pharmaceuticals inc,AMPH,"",2459731.0,49588000.0,0.0012,0.0013,2377,-93367.0,-3.657008,reduction,5.1210610,Q3 2014,HEALTH CARE,"","",16.42
Turquoise hill resources ltd,TRQ,"",2929884.0,49428000.0,0.0012,0.0013,2378,50989.0,1.771131,addition,1.4559772,Q1 2015,MATERIALS,"","",161.8915
Preferred apartment communities inc,APTS,"",5044253.0,49181000.0,0.0012,0.0013,2379,230935.0,4.797834,addition,9.6231879,Q1 2012,REAL ESTATE,"","",15.9906
Brigham minerals inc,MNRL,"",2308156.0,49141000.0,0.0012,0.0009,2380,35458.0,1.560172,addition,5.1018280,Q2 2019,ENERGY,"","",16.9674
Franchise group inc,FRG,"",1386641.0,48907000.0,0.0012,0.0015,2381,-178188.0,-11.387059,reduction,3.4486210,Q4 2019,FINANCE,"","",
Anaptysbio inc,ANAB,"",1884141.0,48855000.0,0.0012,0.0014,2382,-440118.0,-18.935841,reduction,6.8680653,Q1 2017,HEALTH CARE,"","",65.32
Aveanna healthcare holdings inc,AVAH,"",3948112.0,48838000.0,0.0012,,2383,3948112.0,,new,2.1438001,Q2 2021,HEALTH CARE,"","",12.37
Cronos group inc,CRON,"",5670485.0,48766000.0,0.0012,0.0014,2384,189328.0,3.454161,addition,1.5251211,Q4 2018,FINANCE,"","",15.6176
German american bancorp inc,GABC,"",1310816.0,48762000.0,0.0012,0.0016,2385,17966.0,1.389643,addition,4.9379591,Q2 2002,FINANCE,"","",24.9206
Corepoint lodging inc,CPLG,"",4549767.0,48683000.0,0.0012,0.0011,2386,117844.0,2.658981,addition,7.7820928,Q2 2018,REAL ESTATE,"","",19.8565
Haverty furniture companies  inc.,HVT,"",1138468.0,48681000.0,0.0012,0.0011,2387,73800.0,6.931738,addition,6.7258427,Q2 2002,CONSUMER DISCRETIONARY,"","",19.5957
Esperion therapeutics inc.,ESPR,"",2299988.0,48644000.0,0.0012,0.0018,2388,-19125.0,-0.824669,reduction,8.1336348,Q3 2013,HEALTH CARE,"","",51.17
Frontier group holdings inc,ULCC,"",2853368.0,48622000.0,0.0012,,2389,2853368.0,,new,1.3243945,Q2 2021,TRANSPORTS,"","",17.04
Cortexyme inc,CRTX,"",916336.0,48566000.0,0.0012,0.0008,2390,59471.0,6.940533,addition,3.0867837,Q2 2019,HEALTH CARE,"","",44.9768
Orbcomm inc,ORBC,"",4315103.0,48502000.0,0.0012,0.0008,2391,429267.0,11.046966,addition,5.4171553,Q4 2006,UTILITIES AND TELECOMMUNICATIONS,"","",7.9981
Alphatec holdings inc,ATEC,"",3161208.0,48430000.0,0.0012,0.0011,2392,529579.0,20.123619,addition,3.1575082,Q1 2008,HEALTH CARE,"","",18.4501
Sana biotechnology inc,SANA,"",2461181.0,48387000.0,0.0012,0.0021,2393,133574.0,5.738684,addition,1.3098999,Q1 2021,HEALTH CARE,"","",32.7205
Orasure technologies inc,OSUR,"",4763325.0,48300000.0,0.0012,0.0016,2394,-304561.0,-6.009626,reduction,6.6149077,Q2 2002,HEALTH CARE,"","",10.72
Hawkins  inc.,HWKN,"",1469959.0,48141000.0,0.0012,0.0013,2395,14853.0,1.02075,addition,6.9297124,Q1 2003,MATERIALS,"","",33.0371
Lexinfintech holdings ltd,LX,"",3925985.0,48094000.0,0.0012,0.001,2396,264429.0,7.221766,addition,2.9176570,Q3 2019,FINANCE,"","",10.3474
Optimizerx corp,OPRX,"",774349.0,47932000.0,0.0012,0.0009,2397,86181.0,12.52325,addition,4.3950637,Q3 2018,COMMUNICATIONS,"","",23.8634
One liberty properties  inc.,OLP,"",1687783.0,47916000.0,0.0012,0.001,2398,54088.0,3.310777,addition,8.1002325,Q1 2003,REAL ESTATE,"","",21.6821
Oneconnect financial technology co.  ltd. adr,OCFT,"",3981782.0,47860000.0,0.0012,0.0006,2399,2357029.0,145.069989,addition,1.0209866,Q2 2020,INFORMATION TECHNOLOGY,"","",14.9865
Applied molecular transport inc.,AMTI,"",1045586.0,47825000.0,0.0012,0.001,2400,169983.0,19.41325,addition,2.7211326,Q2 2020,HEALTH CARE,"","",36.7711
Rev group inc,REVG,"",3048009.0,47823000.0,0.0012,0.0012,2401,708249.0,30.270156,addition,4.7079390,Q1 2017,INDUSTRIALS,"","",21.5317
Connectone bancorp inc,CNOBP,"",1813901.0,47470000.0,0.0012,0.0012,2402,100991.0,5.895873,addition,4.5581340,Q2 2013,FINANCE,"","",20.2019
Si-bone inc,SIBN,"",1507157.0,47430000.0,0.0012,0.0012,2403,104692.0,7.464857,addition,4.5299393,Q4 2018,HEALTH CARE,"","",20.1175
Washington trust bancorp  inc.,WASH,"",923113.0,47401000.0,0.0012,0.0013,2404,16932.0,1.868501,addition,5.3296136,Q2 2002,FINANCE,"","",35.5257
Channeladvisor corp,ECOM,"",1931972.0,47352000.0,0.0012,0.0012,2405,-3775.0,-0.195015,reduction,6.4759073,Q2 2013,INFORMATION TECHNOLOGY,"","",17.6
Liberty latin america ltd class c,LILAK,"",3355555.0,47313000.0,0.0012,0.0012,2406,66082.0,2.008893,addition,1.8371637,Q3 2015,COMMUNICATIONS,"","",20.8249
Msg networks inc,MSGN,"",3237027.0,47196000.0,0.0012,0.0017,2407,-1041525.0,-24.342932,reduction,7.4483109,Q1 2010,COMMUNICATIONS,"","",8.99
Origin bancorp inc,OBNK,"",1109882.0,47127000.0,0.0012,0.0013,2408,-18129.0,-1.607165,reduction,4.7224570,Q2 2018,FINANCE,"","",32.5
Huya inc,HUYA,"",2663534.0,47011000.0,0.0012,0.0013,2409,233784.0,9.621731,addition,3.1752016,Q3 2019,INFORMATION TECHNOLOGY,"","",21.6091
Organogenesis holdings inc,ORGO,"",2823624.0,46928000.0,0.0012,0.0008,2410,1281893.0,83.146347,addition,2.1959407,Q1 2019,FINANCE,"","",11.6022
Vanguard s&p 500 growth etf,VOOG,"",178408.0,46812000.0,0.0012,0.0012,2411,-8366.0,-4.47921,reduction,No Data,Q4 2020,FINANCE,"","",230.08
Mitek systems inc.,MITK,"",2425108.0,46707000.0,0.0012,0.0009,2412,71472.0,3.036663,addition,5.5085954,Q3 2011,INFORMATION TECHNOLOGY,"","",8.293
Allegiance bancshares inc,ABTX,"",1212749.0,46618000.0,0.0012,0.0013,2413,-2226.0,-0.183214,reduction,5.9993269,Q4 2015,FINANCE,"","",32.54
Great lakes dredge & dock corp.,GLDD,"",3188922.0,46589000.0,0.0012,0.0013,2414,-232968.0,-6.808167,reduction,4.8568897,Q3 2007,INDUSTRIALS,"","",7.1
Praxis precision medicines  inc.,PRAX,"",2547753.0,46572000.0,0.0012,0.0009,2415,1532184.0,150.869513,addition,6.5893825,Q4 2020,HEALTH CARE,"","",32.642
Allovir  inc.,ALVR,"",2352343.0,46435000.0,0.0012,0.0014,2416,166880.0,7.635911,addition,3.6124329,Q3 2020,HEALTH CARE,"","",25.8439
Loral space and communications inc,LORL,"",1191357.0,46284000.0,0.0012,0.0012,2417,21190.0,1.810853,addition,5.5600535,Q2 2006,INFORMATION TECHNOLOGY,"","",45.2049
Orthopediatrics corp,KIDS,"",730616.0,46161000.0,0.0011,0.0009,2418,23764.0,3.361948,addition,3.7138731,Q4 2017,HEALTH CARE,"","",34.2332
Akebia therapeutics inc,AKBA,"",12155719.0,46071000.0,0.0011,0.0011,2419,463565.0,3.964753,addition,6.9645331,Q2 2014,HEALTH CARE,"","",6.7044
Personalis inc,PSNL,"",1818378.0,46005000.0,0.0011,0.0011,2420,187201.0,11.476437,addition,4.0942948,Q2 2019,HEALTH CARE,"","",20.1509
Lumber liquidators holdings inc,LL,"",2179669.0,45991000.0,0.0011,0.0014,2421,126043.0,6.137583,addition,7.4949956,Q2 2008,CONSUMER DISCRETIONARY,"","",27.2618
Lands end inc,LE,"",1118160.0,45900000.0,0.0011,0.0007,2422,99855.0,9.806001,addition,3.3904197,Q2 2014,CONSUMER DISCRETIONARY,"","",29.73
Golden entertainment inc,GDEN,"",1024496.0,45897000.0,0.0011,0.0007,2423,18554.0,1.84444,addition,3.5486908,Q2 2006,CONSUMER DISCRETIONARY,"","",22.9628
